CF-Recovery,HR@10,Model,NDCG@10,Oracle-Gap-Capture,Seed,Semantic-Retention,best_epoch,cf_only,cf_only_mean_gate,freeze_event_relation,gate_std,head_mean_gate,init_checkpoint,lambda_route,max_prefixes_per_user,mean_gate,mid_mean_gate,oracle_HR@10,route_mode,route_teacher_dir,semantic_only,semantic_only_mean_gate,tail_mean_gate,train_route_gate_only
,0.2805974153736082,GRU4Rec,0.14898390195813954,,2024,,,,,,,,,,,,,,,,,,,
,0.28243080087644773,GRU4Rec,0.14937163031709844,,2025,,,,,,,,,,,,,,,,,,,
,0.28023968161695656,GRU4Rec,0.1484702393116694,,2026,,,,,,,,,,,,,,,,,,,
,0.3128828869114162,BERT4Rec,0.18407751625866892,,2024,,,,,,,,,,,,,,,,,,,
,0.3154317399275589,BERT4Rec,0.1793407432213076,,2025,,,,,,,,,,,,,,,,,,,
,0.2734874569601574,BERT4Rec,0.14728593323035155,,2026,,,,,,,,,,,,,,,,,,,
,0.2799266645798864,SASRec,0.14700380202615435,,2024,,,,,,,,,,,,,,,,,,,
,0.2791217636274203,SASRec,0.14552988243589648,,2025,,,,,,,,,,,,,,,,,,,
,0.28341456870723963,SASRec,0.14924012169318462,,2026,,,,,,,,,,,,,,,,,,,
,0.5052542145508205,Semantic-only SASRec,0.30055384434699167,,2024,,,,,,,,,,,,,,,,,,,
,0.5078477842865448,Semantic-only SASRec,0.30524541456283005,,2025,,,,,,,,,,,,,,,,,,,
,0.5013638599472343,Semantic-only SASRec,0.29871559842540857,,2026,,,,,,,,,,,,,,,,,,,
0.0,0.5052542145508205,UserTargetGate,0.30055188469261135,0.0,2024,1.0,,,7.881347301008645e-06,,1.4999955965322442e-05,8.750948836677708e-06,,,,1.0901608220592607e-05,9.584206964063924e-06,,,,,1.1738545254047494e-05,1.4369957170856651e-05,
0.0,0.5078477842865448,UserTargetGate,0.3052454145628261,0.0,2025,1.0,,,4.793137577507878e-06,,7.065666977723595e-06,3.5231612400821177e-06,,,,5.751580374635523e-06,5.664388481818605e-06,,,,,3.861065579258138e-06,8.067490853136405e-06,
0.09172077922077922,0.4956848365603899,UserTargetGate,0.304471997960234,-0.10308441558441671,2026,0.9045201441205372,,,0.0033347683493047953,,0.22202429175376892,0.03624531254172325,,,,0.08664076030254364,0.03910845145583153,,,,,0.12004659324884415,0.18457527458667755,
0.22797456857402362,0.509457586191477,EventGate-NoTeacher,0.3134637461487957,0.08537693006357822,2024,0.8587947882736157,65,1101,,False,,,,0.0,5,,,0.5544873228099987,learned,,6140,,,False
0.0980544747081712,0.5128560568796673,EventGate-NoTeacher,0.3082941721603926,0.08715953307392928,2025,0.95953125,4,1285,,False,,,,0.0,5,,,0.56530876894871,learned,,6400,,,False
0.22077922077922077,0.5031972454500738,EventGate-NoTeacher,0.31034843468148354,0.033279220779220846,2026,0.8544055027841467,76,1232,,False,,,,0.0,5,,,0.5564548584715825,learned,,6106,,,False
0.39872842870118075,0.507981934445289,CER-Rec,0.3097928438269053,0.05540417801998128,2024,0.8552117263843648,30,1101,,False,,,,0.3,5,,,0.5544873228099987,learned,/root/autodl-tmp/cer-rec/beauty/seed2024/route_teacher_multiprefix5,6140,,,False
0.41867704280155643,0.514018691588785,CER-Rec,0.3177899810616859,0.10739299610894813,2025,0.8403125,54,1285,,False,,,,0.3,5,,,0.56530876894871,learned,/root/autodl-tmp/cer-rec/beauty/seed2025/route_teacher_multiprefix5,6400,,,False
0.387987012987013,0.5044493135983544,CER-Rec,0.308756383814508,0.056006493506492935,2026,0.8450704225352113,71,1232,,False,,,,0.3,5,,,0.5564548584715825,learned,/root/autodl-tmp/cer-rec/beauty/seed2026/route_teacher_multiprefix5,6106,,,False
