Model,Seeds,HR@10,NDCG@10,CF-Recovery,Semantic-Retention,Oracle-Gap-Capture
GRU4Rec,"2024,2025,2026",0.2811 ± 0.0010,0.1489 ± 0.0004,,,
BERT4Rec,"2024,2025,2026",0.3006 ± 0.0192,0.1702 ± 0.0163,,,
SASRec,"2024,2025,2026",0.2808 ± 0.0019,0.1473 ± 0.0015,,,
Semantic-only SASRec,"2024,2025,2026",0.5048 ± 0.0027,0.3015 ± 0.0027,,,
UserTargetGate,"2024,2025,2026",0.5029 ± 0.0052,0.3034 ± 0.0021,0.0306 ± 0.0432,0.9682 ± 0.0450,-0.0344 ± 0.0486
EventGate-NoTeacher,"2024,2025,2026",0.5085 ± 0.0040,0.3107 ± 0.0021,0.1823 ± 0.0596,0.8909 ± 0.0486,0.0686 ± 0.0250
CER-Rec,"2024,2025,2026",0.5088 ± 0.0040,0.3121 ± 0.0040,0.4018 ± 0.0127,0.8469 ± 0.0062,0.0729 ± 0.0244
